Document,Term,TF,DF,IDF,TF-IDF
Document_1,a,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_1,field,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_1,artificial,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_1,intelligence,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_1,is,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_1,language,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_1,natural,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_1,of,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_1,processing,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_2,computers,0.125,1,1.0986122886681098,0.13732653608351372
Document_2,helps,0.125,1,1.0986122886681098,0.13732653608351372
Document_2,human,0.125,1,1.0986122886681098,0.13732653608351372
Document_2,understand,0.125,1,1.0986122886681098,0.13732653608351372
Document_2,language,0.25,2,0.4054651081081644,0.1013662770270411
Document_2,natural,0.125,2,0.4054651081081644,0.05068313851352055
Document_2,processing,0.125,2,0.4054651081081644,0.05068313851352055
Document_3,an,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_3,important,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_3,learning,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_3,machine,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_3,part,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_3,artificial,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_3,intelligence,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_3,is,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_3,of,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
