Document,Rank,Term,TF,DF,IDF,TF-IDF
Document_1,1,a,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_1,2,field,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_1,3,artificial,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_1,4,intelligence,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_1,5,is,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_1,6,language,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_1,7,natural,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_1,8,of,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_1,9,processing,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_2,1,computers,0.125,1,1.0986122886681098,0.13732653608351372
Document_2,2,helps,0.125,1,1.0986122886681098,0.13732653608351372
Document_2,3,human,0.125,1,1.0986122886681098,0.13732653608351372
Document_2,4,understand,0.125,1,1.0986122886681098,0.13732653608351372
Document_2,5,language,0.25,2,0.4054651081081644,0.1013662770270411
Document_2,6,natural,0.125,2,0.4054651081081644,0.05068313851352055
Document_2,7,processing,0.125,2,0.4054651081081644,0.05068313851352055
Document_3,1,an,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_3,2,important,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_3,3,learning,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_3,4,machine,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_3,5,part,0.1111111111111111,1,1.0986122886681098,0.12206803207423442
Document_3,6,artificial,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_3,7,intelligence,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_3,8,is,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
Document_3,9,of,0.1111111111111111,2,0.4054651081081644,0.04505167867868493
